fold,model,train_period,valid_season,raw_feature_count,transformed_feature_count,pitcher_id,penalty,C,l1_ratio,solver,overall_brier,known_brier,unknown_brier,overall_logloss,coef_total_count,coef_nonzero_count,coef_zero_count,coefficient_sparsity,n_iter,converged,convergence_warning,warning_message,preprocess_seconds,fit_seconds,predict_seconds
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,0.001,0.75,saga,0.24911706650641616,0.24937171839533223,0.24808952175587412,0.6913918226012958,842,41,801,0.9513064133016627,24,True,False,,21.46951528199861,81.80917906800096,0.04005331599910278
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,0.01,0.75,saga,0.2448458798213688,0.24497132477736527,0.24417430002382615,0.6826517835758916,683,100,583,0.8535871156661786,45,True,False,,12.647727327999746,101.26321282299978,0.03600105900113704
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,0.01,0.75,saga,0.24992652684715025,0.2499347638184092,0.24987506778061563,0.6930679980787865,771,111,660,0.8560311284046692,30,True,False,,17.471264092000638,92.7421482610007,0.036077707998629194
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,0.01,0.75,saga,0.24916804100238946,0.24942055712973887,0.24814911425423286,0.6914986838610165,842,116,726,0.8622327790973872,22,True,False,,21.46951528199861,85.75812280399987,0.03866902499794378
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,0.1,0.75,saga,0.24483103543136073,0.24495572571259958,0.24416349584664968,0.6826211621772988,683,389,294,0.43045387994143486,28,True,False,,12.647727327999746,96.3514724150009,0.04344339300041611
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,0.1,0.75,saga,0.24997715216526695,0.24998605232044668,0.24992154997082436,0.6931748329805578,771,446,325,0.42153047989623865,25,True,False,,17.471264092000638,120.90022881199911,0.048431278999487404
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,0.1,0.75,saga,0.24920241527309223,0.24945540860752363,0.248181562948675,0.6915699659795465,842,492,350,0.4156769596199525,21,True,False,,21.46951528199861,135.00661115600087,0.05023916699792608
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,1.0,0.75,saga,0.24481156774488513,0.24494425723917176,0.24410120372106878,0.6825833948547976,683,655,28,0.040995607613469986,19,True,False,,12.647727327999746,85.00534966300074,0.04674900300051377
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,1.0,0.75,saga,0.2500248210230837,0.25003688314735434,0.24994946496854983,0.6932717069544263,771,717,54,0.07003891050583658,28,True,False,,17.471264092000638,179.31592336200265,0.03940638800122542
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,1.0,0.75,saga,0.2492367000559685,0.24949434517940422,0.24819707731758592,0.6916402276309775,842,801,41,0.048693586698337295,17,True,False,,21.46951528199861,146.07097210199936,0.04092142599984072
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,10.0,0.75,saga,0.2447955470475385,0.2449321886165044,0.2440640252697744,0.6825514743743437,683,682,1,0.0014641288433382138,19,True,False,,12.647727327999746,89.48205463399972,0.03319420799925865
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,10.0,0.75,saga,0.25007025944062317,0.2500864727195563,0.24996896975863592,0.6933642427933726,771,770,1,0.0012970168612191958,24,True,False,,17.471264092000638,162.752202923999,0.038518284000019776
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,10.0,0.75,saga,0.2492478124233189,0.24950648065767797,0.24820406133441472,0.6916631459872195,842,841,1,0.0011876484560570072,17,True,False,,21.46951528199861,153.20062609700108,0.04210935899754986
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,100.0,0.75,saga,0.24478926117315045,0.2449286095365367,0.24404324835081365,0.6825390097337257,683,683,0,0.0,41,True,False,,12.647727327999746,191.94720536600107,0.03616056099963316
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,100.0,0.75,saga,0.2501021268564459,0.25012154915257667,0.24998078938938206,0.6934316510916166,771,771,0,0.0,28,True,False,,17.471264092000638,189.04153235400008,0.03913235100117163
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,100.0,0.75,saga,0.2492173255022461,0.24946827381371225,0.24820472504127133,0.691601438798455,842,842,0,0.0,14,True,False,,21.46951528199861,126.19492148900099,0.04110217500056024
